ticket_id,basket_id,timestamp,product,category,quantity,store
TCK-70000,BASK-0,2025-08-29 16:40:26,Lechuga,Verduras,1,HiperDino-SietePalmas
TCK-70000,BASK-0,2025-08-29 16:40:26,Guacamole refrigerado,Refrigerados,3,HiperDino-SietePalmas
TCK-70000,BASK-0,2025-08-29 16:40:26,Salsa mexicana,Salsas,2,HiperDino-SietePalmas
TCK-70000,BASK-0,2025-08-29 16:40:26,Salsa de tomate,Conservas,2,HiperDino-SietePalmas
TCK-70001,BASK-1,2025-04-03 14:33:26,Manzanas,Frutas,3,Mercadona-Triana
TCK-70001,BASK-1,2025-04-03 14:33:26,Pan de hamburguesa,Panadería,1,Mercadona-Triana
TCK-70001,BASK-1,2025-04-03 14:33:26,Queso curado,Lácteos,2,Mercadona-Triana
TCK-70001,BASK-1,2025-04-03 14:33:26,Café molido,Bebidas,3,Mercadona-Triana
TCK-70001,BASK-1,2025-04-03 14:33:26,Galletas,Dulces,2,Mercadona-Triana
TCK-70001,BASK-1,2025-04-03 14:33:26,Pañales,Bebé,3,Mercadona-Triana
TCK-70002,BASK-2,2024-12-12 16:30:26,Pan de hamburguesa,Panadería,3,SPAR-Telde
TCK-70002,BASK-2,2024-12-12 16:30:26,Patatas fritas bolsa,Snacks,2,SPAR-Telde
TCK-70002,BASK-2,2024-12-12 16:30:26,Tomates,Verduras,2,SPAR-Telde
TCK-70002,BASK-2,2024-12-12 16:30:26,Arroz,Cereales,2,SPAR-Telde
TCK-70002,BASK-2,2024-12-12 16:30:26,Nachos de maíz,Snacks,3,SPAR-Telde
TCK-70002,BASK-2,2024-12-12 16:30:26,Pañales,Bebé,3,SPAR-Telde
TCK-70003,BASK-3,2025-10-16 14:48:26,Plátanos,Frutas,3,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Patatas fritas bolsa,Snacks,3,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Tomates,Verduras,3,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Pizza congelada,Congelados,3,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Helado de vainilla,Congelados,3,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Nachos de maíz,Snacks,2,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Leche entera,Lácteos,2,Mercadona-Triana
TCK-70003,BASK-3,2025-10-16 14:48:26,Cerveza,Bebidas,3,Mercadona-Triana
TCK-70004,BASK-4,2025-08-22 22:00:26,Cereal de desayuno,Cereales,2,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Carne picada,Carnicería,3,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Patatas fritas bolsa,Snacks,1,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Tomates,Verduras,3,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Lechuga,Verduras,2,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Huevos,Lácteos,3,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Vino tinto,Bebidas,2,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Galletas,Dulces,1,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,ColaCao,Bebidas,2,HiperDino-SietePalmas
TCK-70004,BASK-4,2025-08-22 22:00:26,Pañales,Bebé,2,HiperDino-SietePalmas
TCK-70005,BASK-5,2025-08-03 19:25:26,Manzanas,Frutas,1,SPAR-Vegueta
TCK-70005,BASK-5,2025-08-03 19:25:26,Huevos,Lácteos,3,SPAR-Vegueta
TCK-70005,BASK-5,2025-08-03 19:25:26,Guacamole refrigerado,Refrigerados,3,SPAR-Vegueta
TCK-70005,BASK-5,2025-08-03 19:25:26,Café molido,Bebidas,3,SPAR-Vegueta
TCK-70005,BASK-5,2025-08-03 19:25:26,Vino tinto,Bebidas,1,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Pasta,Cereales,2,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Pechuga de pollo,Carnicería,1,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Patatas fritas bolsa,Snacks,2,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Plátanos,Frutas,1,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Mermelada de fresa,Conservas,3,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Salsa mexicana,Salsas,2,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Queso curado,Lácteos,2,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Café molido,Bebidas,3,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,Refresco cola,Bebidas,3,SPAR-Vegueta
TCK-70006,BASK-6,2025-02-16 20:14:26,ColaCao,Bebidas,2,SPAR-Vegueta
TCK-70007,BASK-7,2025-01-02 15:04:26,Tomates,Verduras,3,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Aceite de oliva,Aceites,2,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Arroz,Cereales,1,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Queso curado,Lácteos,3,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Café molido,Bebidas,3,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Leche entera,Lácteos,3,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Cerveza,Bebidas,1,SPAR-Telde
TCK-70007,BASK-7,2025-01-02 15:04:26,Pizza congelada,Congelados,2,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Pasta,Cereales,3,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Pechuga de pollo,Carnicería,1,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Salsa de tomate,Conservas,1,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Aceite de oliva,Aceites,2,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Arroz,Cereales,2,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Pan de barra,Panadería,2,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,Vino tinto,Bebidas,3,SPAR-Telde
TCK-70008,BASK-8,2025-11-01 13:14:26,ColaCao,Bebidas,3,SPAR-Telde
TCK-70009,BASK-9,2025-10-21 22:38:26,Helado de vainilla,Congelados,3,SPAR-Telde
TCK-70009,BASK-9,2025-10-21 22:38:26,Pan de hamburguesa,Panadería,2,SPAR-Telde
TCK-70009,BASK-9,2025-10-21 22:38:26,ColaCao,Bebidas,1,SPAR-Telde
TCK-70009,BASK-9,2025-10-21 22:38:26,Tomates,Verduras,1,SPAR-Telde
TCK-70010,BASK-10,2025-04-01 14:09:26,Mermelada de fresa,Conservas,1,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Salsa mexicana,Salsas,3,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Lechuga,Verduras,2,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Queso curado,Lácteos,3,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Nachos de maíz,Snacks,2,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Guacamole refrigerado,Refrigerados,3,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Galletas,Dulces,1,SPAR-Vegueta
TCK-70010,BASK-10,2025-04-01 14:09:26,Pan de molde,Panadería,1,SPAR-Vegueta
TCK-70011,BASK-11,2025-02-04 23:11:26,Pasta,Cereales,3,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,Salsa de tomate,Conservas,1,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,Mermelada de fresa,Conservas,2,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,Pan de barra,Panadería,2,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,Mantequilla,Lácteos,2,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,Leche entera,Lácteos,1,HiperDino-SietePalmas
TCK-70011,BASK-11,2025-02-04 23:11:26,ColaCao,Bebidas,1,HiperDino-SietePalmas
